city,lat,lon,delay,number
Kalamazoo,42.23,-85.55,28.0,2014
Kalispell,48.31,-114.26,23.0,2343
Kansas City,39.3,-94.71,31.0,43024
Ketchikan,55.35,-131.71,25.0,2440
Key West,24.56,-81.76,19.0,1739
Killeen,31.07,-97.83,24.0,1905
King Salmon,58.68,-156.65,32.0,63
Knoxville,35.81,-84.0,31.0,7066
Kodiak,57.75,-152.49,26.0,523
Kona,19.74,-156.05,32.0,12344
Kotzebue,66.88,-162.6,26.0,700
La Crosse,43.88,-91.26,21.0,751
Lafayette,30.2,-91.99,27.0,3035
Lake Charles,30.13,-93.22,20.0,1233
Lansing,42.78,-84.59,29.0,2379
Laramie,41.31,-105.68,22.0,601
Laredo,27.54,-99.46,23.0,2079
Las Vegas,36.08,-115.15,39.0,149083
Latrobe,40.27,-79.41,31.0,1018
Lawton/Fort Sill,34.57,-98.42,26.0,1123
Lewiston,46.37,-117.02,16.0,713
Lexington,38.04,-84.61,30.0,5063
Lihue,21.98,-159.34,29.0,11759
Lincoln,40.85,-96.76,27.0,2991
Little Rock,34.73,-92.22,25.0,8279
Long Beach,33.82,-118.15,35.0,11063
Longview,32.38,-94.71,47.0,367
Los Angeles,33.94,-118.41,42.0,210593
Louisville,38.17,-85.74,29.0,9776
Lubbock,33.66,-101.82,26.0,4503
Madison,43.14,-89.34,23.0,7399
Mammoth Lakes,37.63,-118.85,42.0,91
Manchester,42.93,-71.44,23.0,6578
Manhattan/Ft. Riley,39.14,-96.67,0.0,1
Marquette,46.35,-87.4,34.0,682
Martha's Vineyard,41.39,-70.61,48.0,247
Medford,42.37,-122.87,31.0,2916
Melbourne,28.1,-80.65,22.0,1504
Memphis,35.04,-89.98,28.0,13911
Meridian,32.33,-88.75,34.0,982
Miami,25.8,-80.29,42.0,68701
Midland/Odessa,31.94,-102.2,24.0,5741
Milwaukee,42.95,-87.9,29.0,32129
Minneapolis,44.88,-93.22,32.0,128026
Minot,48.26,-101.28,25.0,1624
Mission/McAllen/Edinburg,26.18,-98.24,20.0,2188
Missoula,46.92,-114.09,24.0,2646
Mobile,30.69,-88.24,32.0,4824
Moline,41.45,-90.51,27.0,2496
Monroe,32.51,-92.04,29.0,3020
Monterey,36.59,-121.84,31.0,2463
Montgomery,32.3,-86.39,29.0,2432
Montrose/Delta,38.51,-107.89,26.0,1077
Mosinee,44.78,-89.67,30.0,781
Muskegon,43.17,-86.24,34.0,654
Myrtle Beach,33.68,-78.93,33.0,5593
Nantucket,41.25,-70.06,34.0,608
Nashville,36.12,-86.68,35.0,50974
New Bern/Morehead/Beaufort,35.07,-77.04,30.0,699
New Orleans,29.99,-90.26,32.0,43053
New York,40.71,-73.83,35.0,190117
Newark,40.69,-74.17,36.0,112530
Newburgh/Poughkeepsie,41.5,-74.1,33.0,716
Newport News/Williamsburg,37.13,-76.49,24.0,1110
Niagara Falls,43.11,-78.95,35.0,380
Nome,64.51,-165.44,35.0,705
Norfolk,36.89,-76.2,28.0,10804
North Bend/Coos Bay,43.42,-124.25,50.0,290
Oakland,37.72,-122.22,44.0,48171
Oklahoma City,35.39,-97.6,28.0,15480
Omaha,41.3,-95.89,28.0,17703
